행정동,정류소명,정류소 타입
종로1.2.3.4가동,종로2가사거리,중앙차로
종로1.2.3.4가동,창경궁.서울대학교병원,중앙차로
혜화동,명륜3가.성대입구,중앙차로
종로1.2.3.4가동,종로2가.삼일교,중앙차로
혜화동,혜화동로터리.여운형활동터,중앙차로
교남동,서대문역사거리,중앙차로
사직동,서울역사박물관.경희궁앞,중앙차로
사직동,서울역사박물관.경희궁앞,중앙차로
사직동,광화문,중앙차로
종로1.2.3.4가동,광화문,중앙차로
종로1.2.3.4가동,종로1가,중앙차로
종로1.2.3.4가동,종로1가,중앙차로
종로1.2.3.4가동,종로2가,중앙차로
종로1.2.3.4가동,종로2가,중앙차로
종로1.2.3.4가동,종로3가.탑골공원,중앙차로
종로1.2.3.4가동,종로3가.탑골공원,중앙차로
종로1.2.3.4가동,종로4가.종묘,중앙차로
종로1.2.3.4가동,종로4가.종묘,중앙차로
종로1.2.3.4가동,종로5가.광장시장,중앙차로
종로1.2.3.4가동,종로5가.광장시장,중앙차로
종로5.6가동,종로6가.동대문종합시장,중앙차로
종로5.6가동,종로6가.동대문종합시장,중앙차로
창신1동,동대문역.흥인지문,중앙차로
창신2동,동대문(흥인지문),중앙차로
숭인2동,동묘앞,중앙차로
숭인2동,동묘앞,중앙차로
청운효자동,경기상고,일반차로
청운효자동,신교동,일반차로
청운효자동,경기상고,일반차로
청운효자동,경복고교,일반차로
청운효자동,청운중학교,일반차로
청운효자동,자하문고개.윤동주문학관,일반차로
청운효자동,자하문고개.윤동주문학관,일반차로
청운효자동,청운중학교,일반차로
청운효자동,경복고교,일반차로
청운효자동,통인시장종로구보건소,일반차로
청운효자동,통인시장종로구보건소,일반차로
청운효자동,효자동,일반차로
사직동,사직단.어린이도서관,일반차로
사직동,경복궁역1번출구,일반차로
사직동,경복궁역,일반차로
사직동,경복궁역,일반차로
종로1.2.3.4가동,경복궁,일반차로
종로1.2.3.4가동,KT광화문지사,일반차로
청운효자동,국립고궁박물관,일반차로
사직동,광화문,일반차로
사직동,광화문.금호아시아나본관앞,일반차로
사직동,서울역사박물관.경교장.강북삼성병원,일반차로
사직동,서울역사박물관.경교장.강북삼성병원,일반차로
사직동,광화문.금호아시아나본관앞,일반차로
사직동,광화문,일반차로
종로1.2.3.4가동,세종문화회관,일반차로
사직동,서울경찰청.경복궁역,일반차로
사직동,사직단,일반차로
사직동,광화문.광화문빌딩,일반차로
삼청동,덕성여중고,일반차로
삼청동,안국역.서울공예박물관,일반차로
부암동,국민은행세검정지점,일반차로
부암동,세검정초등학교,일반차로
부암동,세검정.상명대,일반차로
부암동,상명대입구.석파랑,일반차로
부암동,하림각,일반차로
부암동,자하문터널입구.석파정,일반차로
부암동,부암동주민센터.무계원,일반차로
부암동,부암동주민센터.무계원,일반차로
부암동,자하문터널입구.석파정,일반차로
부암동,하림각,일반차로
부암동,상명대입구.세검정교회,일반차로
부암동,세검정.상명대,일반차로
부암동,세검정초등학교,일반차로
부암동,국민은행세검정지점,일반차로
평창동,승가사입구,일반차로
평창동,구기동현대빌라,일반차로
평창동,구기터널.삼성출판박물관,일반차로
평창동,구기터널.삼성출판박물관,일반차로
평창동,구기동,일반차로
평창동,구기동,일반차로
평창동,승가사입구,일반차로
평창동,갑을씨티텔앞,일반차로
평창동,평창파출소,일반차로
평창동,평창동주민센터,일반차로
평창동,일성아파트,일반차로
평창동,롯데아파트,일반차로
평창동,롯데아파트,일반차로
평창동,벽산평창힐스아파트,일반차로
평창동,예능교회,일반차로
평창동,서울예술고등학교.평창동주민센터,일반차로
평창동,화정박물관,일반차로
교남동,강북삼성병원,일반차로
무악동,독립문역,일반차로
무악동,독립문역.서대문형무소역사관,일반차로
교남동,서대문.서울시교육청,일반차로
교남동,서대문역사거리.적십자병원,일반차로
교남동,독립문,일반차로
교남동,독립문,일반차로
가회동,창덕궁.서울돈화문국악당,일반차로
종로1.2.3.4가동,서린동.SK서린빌딩,일반차로
종로1.2.3.4가동,청계1가.광교,일반차로
종로1.2.3.4가동,청계2가.수표교,일반차로
종로1.2.3.4가동,청계4가.세운교,일반차로
종로1.2.3.4가동,청계5가.광장시장,일반차로
종로1.2.3.4가동,종로5가.광장시장,가로변시간
종로1.2.3.4가동,종로5가,가로변시간
종로1.2.3.4가동,종로4가.종묘,일반차로
종로1.2.3.4가동,종로4가.종묘,가로변전일
종로1.2.3.4가동,종로3가역15번출구,가로변전일
종로1.2.3.4가동,종로3가,가로변시간
종로1.2.3.4가동,종로2가,일반차로
종로1.2.3.4가동,종로2가,일반차로
종로1.2.3.4가동,종로2가,가로변시간
종로1.2.3.4가동,종로2가,가로변시간
종로1.2.3.4가동,종로1가,가로변시간
종로1.2.3.4가동,종로1가,가로변시간
종로1.2.3.4가동,종로1가,가로변시간
종로1.2.3.4가동,종로1가,일반차로
종로1.2.3.4가동,종로2가,가로변시간
종로1.2.3.4가동,종로2가,가로변시간
종로1.2.3.4가동,종로3가,일반차로
종로1.2.3.4가동,종로4가.종묘,가로변전일
종로1.2.3.4가동,종로4가,가로변전일
종로1.2.3.4가동,종로5가,가로변전일
종로1.2.3.4가동,원남동,가로변시간
종로1.2.3.4가동,창덕궁.우리소리박물관,일반차로
종로1.2.3.4가동,안국역.인사동,일반차로
종로1.2.3.4가동,조계사.종로경찰서,일반차로
종로1.2.3.4가동,조계사.종로경찰서,일반차로
종로1.2.3.4가동,안국동,일반차로
종로5.6가동,종로5가.효제동.김상옥의거터,가로변시간
종로5.6가동,종로5가.효제초등학교,가로변시간
종로5.6가동,종로5가,가로변전일
종로5.6가동,종로6가,일반차로
종로5.6가동,종로6가,가로변시간
종로1.2.3.4가동,창덕궁.돈화문국악당,일반차로
종로5.6가동,종로6가,가로변전일
종로5.6가동,종로6가,일반차로
종로5.6가동,종로5가,일반차로
종로5.6가동,청계6가.동대문시장,일반차로
종로5.6가동,동대문,일반차로
종로5.6가동,충신동,일반차로
종로5.6가동,종로6가.종로신진시장,가로변시간
종로5.6가동,충신동,일반차로
종로5.6가동,현대그룹빌딩,일반차로
이화동,방송통신대.이화장,가로변전일
이화동,혜화역.마로니에공원,가로변전일
이화동,혜화역.서울대병원입구,가로변전일
이화동,방송통신대.이화장,일반차로
이화동,이화동(이화장),일반차로
이화동,창경궁.서울대학교병원,일반차로
이화동,이화동(이화장),일반차로
혜화동,혜화동로터리,일반차로
혜화동,명륜동2가.성균관대입구,일반차로
혜화동,혜화역.서울연극센터(장면총리가옥),일반차로
혜화동,혜화역.동성중고(장면총리가옥),가로변시간
창신1동,종로구민회관.창신동두산아파트,일반차로
창신1동,동대문,가로변시간
창신1동,동대문,가로변시간
창신1동,동대문,가로변시간
창신1동,동묘역앞,일반차로
숭인2동,동묘역앞,일반차로
종로1.2.3.4가동,청계2가교차로,일반차로
창신3동,창신3동주민센터,일반차로
숭인1동,숭인1동주민센터.창신역4번출구,일반차로
숭인1동,동묘역.롯데캐슬천지인,일반차로
숭인2동,숭인동,가로변시간
숭인2동,신설동로터리,일반차로
숭인1동,동묘앞,일반차로
평창동,구기동현대빌라,일반차로
종로1.2.3.4가동,광장시장,일반차로
종로1.2.3.4가동,혜화경찰서,가로변시간
사직동,서울역사박물관.김구집무실(경교장),가로변시간
종로1.2.3.4가동,청계3가.관수교,일반차로
종로5.6가동,청계6가.버들다리,일반차로
창신1동,청계7가.맑은내다리,일반차로
창신1동,청계8가.영도교,일반차로
종로1.2.3.4가동,원남동사거리,일반차로
창신1동,동대문,가로변시간
숭인2동,숭인동,일반차로
종로1.2.3.4가동,조계사,일반차로
사직동,적선동,일반차로
사직동,적선동,일반차로
사직동,사직단,일반차로
사직동,사직단,일반차로
종로1.2.3.4가동,세종문화회관,일반차로
사직동,광화문,일반차로
사직동,서울역사박물관(경교장),가로변시간
사직동,광화문역,일반차로
이화동,이화동(이화장),일반차로
부암동,상명대정문,일반차로
평창동,이북오도청,일반차로
청운효자동,경복궁역(효자로입구),일반차로
청운효자동,국립고궁박물관.경복궁서문,일반차로
청운효자동,청와대분수대앞,일반차로
청운효자동,춘추관앞,일반차로
청운효자동,경복궁.국립민속박물관.현대미술관,일반차로
청운효자동,경복궁동문,일반차로
부암동,상명대입구.세검정교회,일반차로
부암동,상명대입구.석파랑,일반차로
종로5.6가동,종로중부새마을금고,일반차로
숭인2동,신설동로터리.신한은행앞.서울풍물시장,일반차로
종로1.2.3.4가동,청계2가.삼일교,일반차로
숭인2동,청계8가.황학교,일반차로
평창동,평창동삼성아파트,일반차로
종로1.2.3.4가동,안국역.인사동,일반차로
삼청동,안국역.서울공예박물관,일반차로
종로1.2.3.4가동,창덕궁,일반차로
종로1.2.3.4가동,남인사마당,일반차로
평창동,평창파출소,마을버스
삼청동,삼청공원,마을버스
청운효자동,수성동계곡,마을버스
혜화동,명륜3가종점,마을버스
혜화동,명륜새마을금고,마을버스
교남동,서대문3번출구,마을버스
이화동,낙산공원,마을버스
가회동,인사미술공간.세탁소,마을버스
평창동,화정박물관,마을버스
삼청동,금융연수원,마을버스
청운효자동,박노수미술관,마을버스
혜화동,샘미용실,마을버스
혜화동,서울국제고등학교,마을버스
평창동,화정박물관,마을버스
교남동,적십자병원후문앞,마을버스
혜화동,서울성곽.성대후문,마을버스
가회동,빨래터.고희동미술관,마을버스
부암동,세검초등학교,마을버스
삼청동,삼청동주민센터,마을버스
청운효자동,통인시장,마을버스
혜화동,양현관,마을버스
혜화동,국민생활관,마을버스
평창동,오거리,마을버스
교남동,경희궁자이2.3단지,마을버스
창신3동,창신쌍용2단지.한성대후문,마을버스
삼청동,통일부,마을버스
가회동,원서고개,마을버스
평창동,구기동,마을버스
종로1.2.3.4가동,종로5가입구.혜화경찰서,마을버스
삼청동,삼청파출소,마을버스
청운효자동,오거리.한옥마을입구,마을버스
혜화동,명륜시장.성대후문,마을버스
혜화동,혜화초등학교,마을버스
평창동,청련사입구,마을버스
교남동,영천시장,마을버스
창신3동,명신초.삼선푸르지오.힐스테이트,마을버스
가회동,감사원,마을버스
가회동,중앙중고,마을버스
평창동,인왕빌딩,마을버스
종로1.2.3.4가동,종로4가.종묘공원,마을버스
청운효자동,국립민속박물관,마을버스
청운효자동,광화문새마을금고,마을버스
혜화동,새마을금고,마을버스
혜화동,혜화우체국,마을버스
평창동,언덕앞,마을버스
교남동,경희궁자이4단지,마을버스
숭인1동,종로센트레빌후문.e편한세상보문아파트,마을버스
가회동,사우디대사관앞.경남빌라,마을버스
가회동,안국선원.삼거리,마을버스
평창동,구기터널입구,마을버스
종로1.2.3.4가동,종로3가.1.3.5호선,마을버스
청운효자동,경복궁,마을버스
사직동,경복궁역,마을버스
평창동,소나무집,마을버스
교남동,독립문역3번출구,마을버스
숭인1동,청룡사.보문파크뷰자이아파트,마을버스
가회동,북촌한옥마을입구.정세권활동터,마을버스
종로1.2.3.4가동,종로1.2.3.4가동주민센터,마을버스
종로1.2.3.4가동,창덕궁,마을버스
사직동,세종문화회관,마을버스
이화동,혜화역3번출구,마을버스
평창동,아름다운실버,마을버스
교남동,독립문초등학교,마을버스
숭인1동,종로센트레빌아파트,마을버스
가회동,가회동주민센터,마을버스
평창동,구기빌라,마을버스
종로1.2.3.4가동,원남로터리,마을버스
평창동,보현산신각,마을버스
교남동,천사유치원,마을버스
창신3동,쌍용아파트입구.창신역,마을버스
가회동,아름다운가게.정독도서관,마을버스
평창동,산정빌라,마을버스
이화동,이화사거리,마을버스
평창동,박종화고택입구,마을버스
교남동,무악현대아파트후문,마을버스
창신3동,이수아파트,마을버스
가회동,헌법재판소.안국역,마을버스
평창동,청구빌라,마을버스
이화동,서울대어린이병원응급실.갑상선센터,마을버스
이화동,서울사대초.중교,마을버스
평창동,화인빌라,마을버스
교남동,넓은마당,마을버스
창신3동,창신초등학교,마을버스
종로1.2.3.4가동,수운회관,마을버스
부암동,상명대후문,마을버스
이화동,혜화역2번출구,마을버스
평창동,힐탑,마을버스
교남동,신학대학교총회본부,마을버스
창신1동,구민회관.동묘역,마을버스
종로1.2.3.4가동,낙원상가,마을버스
부암동,완성빌라,마을버스
이화동,서울대병원장례식장,마을버스
혜화동,혜화역1번출구,마을버스
평창동,감나무골공원,마을버스
사직동,한국사회과학자료원,마을버스
창신1동,동묘역,마을버스
종로1.2.3.4가동,금강제화,마을버스
부암동,경진빌라,마을버스
혜화동,성균관대학교앞,마을버스
종로1.2.3.4가동,KT광화문지사,마을버스
혜화동,혜화로터리,마을버스
청운효자동,청와대,일반차로
청운효자동,춘추문,일반차로
청운효자동,경복궁.국립민속박물관,일반차로
청운효자동,효자로입구(가상),가상정류장
평창동,EN갤러리,마을버스
종로1.2.3.4가동,창경궁,일반차로
사직동,광화문,일반차로
평창동,이북오도청,일반차로
무악동,독립문역,일반차로
사직동,종로문화센터,마을버스
창신2동,동대문역.2번출구,마을버스
종로1.2.3.4가동,종각역YMCA,마을버스
부암동,서교빌라,마을버스
사직동,경복궁역,마을버스
이화동,연건동,마을버스
혜화동,성대입구,마을버스
평창동,무애사,마을버스
사직동,단군성전앞,마을버스
종로5.6가동,동대문종합시장,마을버스
부암동,상명초등학교,마을버스
삼청동,법련사,마을버스
청운효자동,광화문새마을금고,마을버스
혜화동,성균관대학교,마을버스
평창동,참샘골공원,마을버스
사직동,활터앞,마을버스
종로5.6가동,종로5가.3번출구,마을버스
종로1.2.3.4가동,인사동들머리.3.1독립선언터,마을버스
삼청동,정독도서관,마을버스
청운효자동,오거리.한옥마을입구,마을버스
종로1.2.3.4가동,종로4가.혜화경찰서,마을버스
평창동,평창공원지킴터입구,마을버스
종로1.2.3.4가동,창경궁.고궁호텔.메이플레이스호텔,일반차로
종로1.2.3.4가동,창경궁,일반차로
사직동,경희궁,가로변시간
사직동,광화문,가로변시간
종로1.2.3.4가동,종로1가,가로변시간
종로1.2.3.4가동,종로1가,가로변시간
종로1.2.3.4가동,종로2가,가로변시간
종로1.2.3.4가동,종로2가,가로변시간
종로1.2.3.4가동,종로3가,일반차로
종로1.2.3.4가동,종로3가,가로변전일
종로1.2.3.4가동,종로4가,가로변시간
종로5.6가동,동대문종합시장종로6가,가로변전일
종로5.6가동,동대문종합시장종로6가,가로변시간
창신1동,동대문역,가로변전일
창신1동,동대문역,가로변시간
숭인2동,신설동전철역,가로변시간
숭인2동,신설동전철역,가로변시간
사직동,종로도서관,마을버스
사직동,경복궁역,일반차로
사직동,경복궁역,일반차로
삼청동,안국역,일반차로
종로1.2.3.4가동,안국역,일반차로
가회동,창덕궁,일반차로
혜화동,성대입구,일반차로
청운효자동,효자로,일반차로
종로1.2.3.4가동,창덕궁,일반차로
종로1.2.3.4가동,종로사우나,마을버스
부암동,엄마분식,마을버스
삼청동,삼청파출소,마을버스
청운효자동,통인시장.종로구보건소,마을버스
종로1.2.3.4가동,종로5가역,마을버스
평창동,평창동산림제3초소,마을버스
사직동,배화여중고,마을버스
이화동,대학로입구.이화사거리,마을버스
종로1.2.3.4가동,운현궁,마을버스
부암동,상명대입구,마을버스
삼청동,삼청동주민센터,마을버스
청운효자동,박노수미술관,마을버스
평창동,김창열.윤명로화실,마을버스
사직동,사직공원.경복궁역입구,마을버스
종로5.6가동,충신시장,마을버스
가회동,안국역2번출구앞,마을버스
부암동,안풍주유소,마을버스
삼청동,금융연수원,마을버스
평창동,감람산기도원,마을버스
사직동,카센터.터널앞,마을버스
창신1동,동대문역5번출구,마을버스
가회동,재동초등학교,마을버스
부암동,하림각,마을버스
삼청동,삼청공원삼거리.옥호정터,마을버스
이화동,이화사거리,마을버스
평창동,연화정사,마을버스
교남동,대신중고,마을버스
숭인1동,동묘역.롯데캐슬,마을버스
가회동,현대사거리,마을버스
교남동,교남동주민센터,마을버스
부암동,부암동주민센터.무계원,마을버스
평창동,형제봉입구,마을버스
교남동,교남동새마을금고,마을버스
숭인1동,창신초교,마을버스
가회동,가회동주민센터,마을버스
가회동,볼링장,마을버스
부암동,부암슈퍼,마을버스
평창동,지구촌교회,마을버스
교남동,월암공원,마을버스
숭인1동,숭인1동주민센터,마을버스
가회동,북촌한옥마을입구.정세권활동터,마을버스
부암동,하림각,마을버스
평창동,보현빌라,마을버스
교남동,스위스대사관,마을버스
숭인1동,창신역.4번출구,마을버스
가회동,안국선원.삼거리,마을버스
부암동,세검정교회,마을버스
혜화동,혜화동로터리,마을버스
평창동,김종영미술관,마을버스
교남동,서울시교육청,마을버스
숭인1동,창신쌍용1단지.종로센트레빌아파트,마을버스
가회동,사우디대사관,마을버스
부암동,상명대입구,마을버스
혜화동,혜화초등학교,마을버스
평창동,북악파크,마을버스
교남동,강북삼성병원,마을버스
숭인1동,청룡사.보문파크뷰자이아파트,마을버스
가회동,감사원,마을버스
혜화동,국민생활관,마을버스
평창동,귀빈예식장,마을버스
숭인1동,종로센트레빌후문.e편한세상보문아파트,마을버스
가회동,통일부,마을버스
혜화동,서울국제고등학교,마을버스
혜화동,성대후문.와룡공원,마을버스
부암동,상명초등학교,마을버스
혜화동,새마을금고,마을버스
부암동,경진빌라,마을버스
혜화동,명륜시장.성대후문,마을버스
부암동,완성빌라,마을버스
혜화동,양현관,마을버스
평창동,상명대후문,마을버스
혜화동,샘미용실,마을버스
평창동,산정빌라,마을버스
평창동,구기빌라,마을버스
평창동,마트앞,마을버스
부암동,국민은행.세검정지점,마을버스
평창동,화정박물관,마을버스
혜화동,혜화역4번출구,마을버스
이화동,방송통신대앞,마을버스
이화동,서울대치과대학,마을버스
종로5.6가동,효제초교.연동교회.김마리아활동터,마을버스
혜화동,성균관대학교,마을버스
무악동,독립문역,마을버스
이화동,서울대치과대학,마을버스
이화동,이화사거리,마을버스
이화동,서울대학교병원현관.암병원현관,마을버스
종로1.2.3.4가동,종각.공평유적전시관,마을버스
종로1.2.3.4가동,조계사,마을버스
종로1.2.3.4가동,종로경찰서,마을버스
숭인2동,숭인동,일반차로
종로1.2.3.4가동,인사동.아벤트리호텔,일반차로
종로1.2.3.4가동,세종문화회관,일반차로
종로5.6가동,동대문역JW메리어트동대문호텔,일반차로
이화동,대학로,일반차로
종로1.2.3.4가동,창경궁,일반차로
종로1.2.3.4가동,창덕궁,일반차로
삼청동,인사동.북촌,일반차로
청운효자동,경복궁.국립민속박물관,일반차로
종로1.2.3.4가동,세종문화회관,일반차로
청운효자동,통인시장,일반차로
종로1.2.3.4가동,세종문화회관,일반차로
종로1.2.3.4가동,종각역,일반차로
종로1.2.3.4가동,인사동.탑골공원,일반차로
종로1.2.3.4가동,종묘.세운상가,일반차로
종로1.2.3.4가동,광장시장,일반차로
숭인2동,동묘.숭인동도깨비시장,일반차로
숭인2동,서울풍물시장,일반차로
청운효자동,청와대,일반차로
